silo,page,url,parent,priority,status,geo_policy,notes
Наркологическая помощь,Наркологическая помощь,/uslugi/narkologicheskaya-pomosh/,/uslugi/,P0,Сделать/перенести,Нет,
Наркологическая помощь,Нарколог на дом,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/,/uslugi/narkologicheskaya-pomosh/,P0,Сделать/перенести,Массовое ГЕО: метро + округа + 50 городов МО,
Наркологическая помощь,Консультация нарколога,/uslugi/narkologicheskaya-pomosh/konsultaciya-narkologa/,/uslugi/narkologicheskaya-pomosh/,P0,Сделать/перенести,Нет,
Наркологическая помощь,Приём психиатра-нарколога,/uslugi/narkologicheskaya-pomosh/psihiatr-narkolog/,/uslugi/narkologicheskaya-pomosh/,P1,Сделать/перенести,Нет,
Наркологическая помощь,Онлайн-консультация психиатра-нарколога,/uslugi/narkologicheskaya-pomosh/onlajn-konsultaciya/,/uslugi/narkologicheskaya-pomosh/,P1,Сделать/перенести,Нет,
Наркологическая помощь,Наркологический стационар,/uslugi/narkologicheskaya-pomosh/stacionar/,/uslugi/narkologicheskaya-pomosh/,P0,Сделать/перенести,Нет,
Наркологическая помощь,Госпитализация в стационар,/uslugi/narkologicheskaya-pomosh/gospitalizaciya/,/uslugi/narkologicheskaya-pomosh/,P1,Сделать/перенести,Нет,
Наркологическая помощь,Частный вытрезвитель,/uslugi/narkologicheskaya-pomosh/chastnyj-vytrezvitel/,/uslugi/narkologicheskaya-pomosh/,P1,Сделать/перенести,Нет,
Наркологическая помощь,Срочная наркологическая помощь,/uslugi/narkologicheskaya-pomosh/srochnaya-pomosh/,/uslugi/narkologicheskaya-pomosh/,P1,Сделать/перенести,Нет,Не использовать юридически нагруженное «скорая» без подтверждения лицензии/статуса.
Лечение алкоголизма,Лечение алкоголизма,/uslugi/lechenie-alkogolizma/,/uslugi/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение алкоголизма на дому,/uslugi/lechenie-alkogolizma/na-domu/,/uslugi/lechenie-alkogolizma/,P1,Сделать/перенести,30 городов МО,
Лечение алкоголизма,Лечение алкоголизма в стационаре,/uslugi/lechenie-alkogolizma/v-stacionare/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Амбулаторное лечение алкоголизма,/uslugi/lechenie-alkogolizma/ambulatorno/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение женского алкоголизма,/uslugi/lechenie-alkogolizma/zhenskij-alkogolizm/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение мужского алкоголизма,/uslugi/lechenie-alkogolizma/muzhskoj-alkogolizm/,/uslugi/lechenie-alkogolizma/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение пивного алкоголизма,/uslugi/lechenie-alkogolizma/pivnoj-alkogolizm/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение хронического алкоголизма,/uslugi/lechenie-alkogolizma/hronicheskij-alkogolizm/,/uslugi/lechenie-alkogolizma/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение алкоголизма у пожилых,/uslugi/lechenie-alkogolizma/u-pozhilyh/,/uslugi/lechenie-alkogolizma/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение алкоголизма без кодирования,/uslugi/lechenie-alkogolizma/bez-kodirovaniya/,/uslugi/lechenie-alkogolizma/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Лечение подросткового алкоголизма,/uslugi/lechenie-alkogolizma/podrostkovyj/,/uslugi/lechenie-alkogolizma/,P2,После подтверждения,Нет,Только если клиника реально работает с несовершеннолетними и это покрыто лицензией/штатом.
Лечение алкоголизма,Помощь при алкогольном делирии,/uslugi/lechenie-alkogolizma/alkogolnyj-delirij/,/uslugi/lechenie-alkogolizma/,P2,После медицинской проверки,Нет,Высокорисковая медицинская тема; не обещать домашнее лечение.
Лечение алкоголизма,Вывод из запоя,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Вывод из запоя на дому,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/na-domu/,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/,P0,Сделать/перенести,Массовое ГЕО: метро + округа + 50 городов МО,
Лечение алкоголизма,Вывод из запоя в стационаре,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/v-stacionare/,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Вывод из запоя + дальнейшее лечение,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/s-dalnejshim-lecheniem/,/uslugi/lechenie-alkogolizma/vyvod-iz-zapoya/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Капельницы и детокс,/uslugi/lechenie-alkogolizma/kapelnitsy/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Капельница от запоя и алкоголя на дому,/uslugi/lechenie-alkogolizma/kapelnitsy/ot-zapoya-i-alkogolya/,/uslugi/lechenie-alkogolizma/kapelnitsy/,P0,Сделать/перенести,Массовое ГЕО: метро + округа + 50 городов МО,"Объединяет «от запоя», «от алкоголя» и «на дому»; 301 с /kapelnica-na-domu/, /kapelnica-ot-zapoya/, /kapelnica-ot-alkogolya/, /kapelnicy-i-detoks/kapelnica-na-domu/, /kapelnicy-i-detoks/kapelnica-ot-zapoya/, /kapelnicy-i-detoks/kapelnica-ot-alkogolya/."
Лечение алкоголизма,Капельница от похмелья,/uslugi/lechenie-alkogolizma/kapelnitsy/ot-pohmelya/,/uslugi/lechenie-alkogolizma/kapelnitsy/,P0,Сделать/перенести,Нет отдельной ГЕО-матрицы,
Лечение алкоголизма,Алкогольная детоксикация,/uslugi/lechenie-alkogolizma/kapelnitsy/detoksikaciya/,/uslugi/lechenie-alkogolizma/kapelnitsy/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Алкогольная интоксикация,/uslugi/lechenie-alkogolizma/kapelnitsy/alkogolnaya-intoksikaciya/,/uslugi/lechenie-alkogolizma/kapelnitsy/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Алкогольный абстинентный синдром,/uslugi/lechenie-alkogolizma/kapelnitsy/abstinentnyj-sindrom/,/uslugi/lechenie-alkogolizma/kapelnitsy/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование от алкоголизма,/uslugi/lechenie-alkogolizma/kodirovanie/,/uslugi/lechenie-alkogolizma/,P0,Сделать/перенести,Массовое ГЕО только для общего кодирования: метро + округа + 50 городов МО,
Лечение алкоголизма,Кодирование на дому,/uslugi/lechenie-alkogolizma/kodirovanie/na-domu/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование в клинике,/uslugi/lechenie-alkogolizma/kodirovanie/v-klinike/,/uslugi/lechenie-alkogolizma/kodirovanie/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Медикаментозное кодирование,/uslugi/lechenie-alkogolizma/kodirovanie/medikamentoznoe/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование по методу Довженко,/uslugi/lechenie-alkogolizma/kodirovanie/metod-dovzhenko/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование гипнозом,/uslugi/lechenie-alkogolizma/kodirovanie/gipnoz/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование уколом,/uslugi/lechenie-alkogolizma/kodirovanie/ukol/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Вшивание / подшивка,/uslugi/lechenie-alkogolizma/kodirovanie/vshivanie/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Двойной блок,/uslugi/lechenie-alkogolizma/kodirovanie/dvojnoj-blok/,/uslugi/lechenie-alkogolizma/kodirovanie/,P0,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование с провокацией,/uslugi/lechenie-alkogolizma/kodirovanie/s-provokaciej/,/uslugi/lechenie-alkogolizma/kodirovanie/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Препараты для кодирования,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,/uslugi/lechenie-alkogolizma/kodirovanie/,P1,Сделать/перенести,Нет,
Лечение алкоголизма,Кодирование: Эспераль,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/esperal/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Аквилонг,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/akvilong/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Алгоминал,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/algominal/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Дисульфирам,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/disulfiram/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Налтрексон,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/naltrekson/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Вивитрол,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/vivitrol/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Кодирование: Торпедо,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/torpedo/,/uslugi/lechenie-alkogolizma/kodirovanie/preparaty/,P1,Сделать/перенести,Нет,Публиковать только если метод/препарат реально используется клиникой; не размножать по ГЕО.
Лечение алкоголизма,Раскодирование,/uslugi/lechenie-alkogolizma/kodirovanie/raskodirovanie/,/uslugi/lechenie-alkogolizma/kodirovanie/,P1,Сделать/перенести,Нет,
Лечение наркомании,Лечение наркомании,/uslugi/lechenie-narkomanii/,/uslugi/,P0,Сделать/перенести,Нет,
Лечение наркомании,Лечение наркомании в стационаре,/uslugi/lechenie-narkomanii/v-stacionare/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,
Лечение наркомании,Лечение наркомании на дому,/uslugi/lechenie-narkomanii/na-domu/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет массового ГЕО,
Лечение наркомании,Амбулаторное лечение наркомании,/uslugi/lechenie-narkomanii/ambulatorno/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет,
Лечение наркомании,Медикаментозное лечение наркомании,/uslugi/lechenie-narkomanii/medikamentoznoe/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет,
Лечение наркомании,Снятие ломки,/uslugi/lechenie-narkomanii/snyatie-lomki/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,
Лечение наркомании,Снятие ломки на дому,/uslugi/lechenie-narkomanii/snyatie-lomki/na-domu/,/uslugi/lechenie-narkomanii/snyatie-lomki/,P1,Сделать/перенести,Нет,
Лечение наркомании,Снятие ломки в стационаре,/uslugi/lechenie-narkomanii/snyatie-lomki/v-stacionare/,/uslugi/lechenie-narkomanii/snyatie-lomki/,P0,Сделать/перенести,Нет,
