service,service_name,geo_type,geo_name,geo_slug,tier,proposed_url,priority,action
narkolog-na-dom,Нарколог на дом,metro,Аэропорт,aeroport,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/aeroport/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Александровский сад,aleksandrovskij-sad,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/aleksandrovskij-sad/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Алексеевская,alekseevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/alekseevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Алма-Атинская,alma-atinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/alma-atinskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Алтуфьево,altufevo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/altufevo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Андроновка,andronovka,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/andronovka/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Аннино,annino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/annino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Арбатская,arbatskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/arbatskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Авиамоторная,aviamotornaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/aviamotornaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Автозаводская,avtozavodskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/avtozavodskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Бабушкинская,babushkinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/babushkinskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Багратионовская,bagrationovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/bagrationovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Балтийская,baltijskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/baltijskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Баррикадная,barrikadnaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/barrikadnaya/,P0,migrate/create
